Account,date,daily PnL per trader,Avg Trade Size,Num of Trades,win rate,Long Ratio,Short Ratio,classification,value
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-04-18,43400.145539,58751.562744063325,379,0.40119320039228507,0.23746701846965698,0.762532981530343,Fear,33
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-04-19,62373.791703999996,43140.85288854003,637,0.40119320039228507,0.6232339089481946,0.37676609105180536,Fear,32
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-04-20,0.0,52569.3078125,160,0.40119320039228507,1.0,0.0,Fear,37
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-04-21,39772.479641,46044.36062140392,869,0.40119320039228507,0.49712313003452246,0.5028768699654775,Fear,39
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-04-22,73209.060448,62608.63574162679,418,0.40119320039228507,0.5574162679425837,0.44258373205741625,Neutral,47
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-04-23,1656.211757,54580.961753554504,211,0.40119320039228507,0.17535545023696683,0.8246445497630331,Greed,72
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-04-24,35332.403093,47146.683541666665,672,0.40119320039228507,0.41517857142857145,0.5848214285714286,Greed,63
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-04-25,8410.75479,49855.811983967935,499,0.40119320039228507,0.5971943887775552,0.4028056112224449,Greed,60
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-04-26,0.0,35046.08286624204,314,0.40119320039228507,1.0,0.0,Greed,65
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-04-28,37973.605394,38360.42061162079,654,0.40119320039228507,0.3929663608562691,0.6070336391437309,Neutral,54
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-04-29,117648.295306,32144.09112903226,992,0.40119320039228507,0.5221774193548387,0.4778225806451613,Greed,60
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-04-30,0.0,22932.819688149688,481,0.40119320039228507,1.0,0.0,Greed,56
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-05-01,60544.304874,22713.250030395135,329,0.40119320039228507,0.2826747720364742,0.7173252279635258,Neutral,53
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2024-12-11,698.009722,136.67374999999998,8,0.4317948717948718,0.0,1.0,Greed,74
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2024-12-12,362.84131,133.0725,4,0.4317948717948718,0.0,1.0,Extreme Greed,83
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2024-12-14,39057.10912,664.7225000000001,80,0.4317948717948718,0.0,1.0,Extreme Greed,83
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2024-12-15,18879.21027,1635.1666666666667,15,0.4317948717948718,0.0,1.0,Extreme Greed,80
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2024-12-16,12648.870412,341.3504255319149,47,0.4317948717948718,0.0,1.0,Extreme Greed,83
